1945 3改 [FBA2012]/1945kiii.zip,1945 3 gai [FBA2012]
64号街区 [FBA]/64streetja.zip,64 hao jie qu [FBA]
X 战警  [mame2003]/xmen.zip,X zhan jing [mame2003]
暴风战机 [FBA2012]/vfive.zip,bao feng zhan ji [FBA2012]
暴力风暴 [mame03]/viostorm.zip,bao li feng bao [mame03]
蝙蝠骑警香港版 [FBA]/batriderhk.zip,bian fu qi jing xiang gang ban [FBA]
变身忍者 [MAME2003]/shadfrce.zip,bian shen ren zhe [MAME2003]
变形战士[FBA]/metamrpha.zip,bian xing zhan shi [FBA]
彩京1945 1 [FBA]/s1945.zip,cai jing 1945 1 [FBA]
彩京1945 2 [FBA2012]/s1945ii.zip,cai jing 1945 2 [FBA2012]
彩京战国 [MAME2003]/sngkace.zip,cai jing zhan guo [MAME2003]
长空超少年[FBA2012]/esprade.zip,chang kong chao shao nian [FBA2012]
超级火力 [FBA]/turbofrcu.zip,chao ji huo li [FBA]
沉默之龙 [mame2003]/silentd.zip,chen mo zhi long [mame2003]
成龙踢馆 1 [mame2003]/kungfum.zip,cheng long ti guan 1 [mame2003]
成龙踢馆 2 [mame2003]/vigilant.zip,cheng long ti guan 2 [mame2003]
赤色要塞 [mame2003]/jackal.zip,chi se yao sai [mame2003]
出发兵蜂[MAME2003]/blswhstl.zip,chu fa bing feng [MAME2003]
大力工头 [MAME2000]/,da li gong tou [MAME2000]
刀锋领主 [MAME2003]/bmaster.zip,dao feng ling zhu [MAME2003]
地狱小和尚 [MAME2003]/bonzeadv.zip,di yu xiao he shang [MAME2003]
电精 1 [mame2003]/denjinmk.zip,dian jing 1 [mame2003]
电精 2 [FBA2012]/grdians.zip,dian jing 2 [FBA2012]
斗神光辉 [MAME2003]/karatblz.zip,dou shen guang hui [MAME2003]
疯狂抢手 [FBA2012]/batsugun.zip,feng kuang qiang shou [FBA2012]
高卢奇兵 [MAME2003]/asterix.zip,gao lu qi bing [MAME2003]
功夫 [MAME2003]/yiear.zip,gong fu [MAME2003]
古巴战士 [mame2000]/gwarj.zip,gu ba zhan shi [mame2000]
海底大战争 [MAME2003]/inthunt.zip,hai di da zhan zheng [MAME2003]
豪血寺一族 1 [FBA2012]/powerins.zip,hao xue si yi zu 1 [FBA2012]
豪血寺一族 2 [FBA]/pwrinst2.zip,hao xue si yi zu 2 [FBA]
豪血寺一族外传 最强传说[FBA2012]/plegends.zip,hao xue si yi zu wai zhuan zui qiang chuan shuo [FBA2012]
糊涂忍者[FBA2012]/charlien.zip,hu tu ren zhe [FBA2012]
荒野大镖客美版[FBA]/gunsmokeua.zip,huang ye da biao ke mei ban [FBA]
魂斗罗 1 [mame2000]/Contra.zip,hun dou luo 1 [mame2000]
魂斗罗 2 [mame2000]/Scontra.zip,hun dou luo 2 [mame2000]
机甲部队 [FBA]/roboarma.zip,ji jia bu dui [FBA]
剑豪 [MAME2003]/kengo.zip,jian hao [MAME2003]
街头霸王 3.3 [FBA2012]/sfiii3.zip,jie tou ba wang 3.3 [FBA2012]
街头格斗 [MAME2000]/tturf.zip,jie tou ge dou [MAME2000]
精英忍者[FBA2012]/metmqstr.zip,jing ying ren zhe [FBA2012]
九反威龙 2  [FBA2012]/vendettaj.zip,jiu fan wei long 2 [FBA2012]
牢门山物语[MAME2003]/guwange.zip,lao men shan wu yu [MAME2003]
雷电 [MAME2003]/raiden.zip,lei dian [MAME2003]
雷龙 1 [FBA]/tdragonb.zip,lei long 1 [FBA]
雷龙 2  [FBA2012]/tdragon2.zip,lei long 2 [FBA2012]
雷鸟之翼 [MAME03]/gigawing.zip,lei niao zhi yi [MAME03]
雷射战机 [FBA核心]/dogyuun.zip,lei she zhan ji [FBA he xin ]
龙之忍者 [MAME2003]/baddudes.zip,long zhi ren zhe [MAME2003]
美少女战士 [FBA2012]/sailormn.zip,mei shao nv zhan shi [FBA2012]
秘密警察 [MAME2003]/uccops.zip,mi mi jing cha [MAME2003]
民国教育委员会 [MAME2003]/quizchql.zip,min guo jiao yu wei yuan hui [MAME2003]
怒首领蜂 1 [FBA2012]/ddonpach.zip,nu shou ling feng 1 [FBA2012]
怒之忍者日版 [FBA]/mystwarrj.zip,nu zhi ren zhe ri ban [FBA]
麒麟OS战警 [FBA2012]/osman.zip,qi lin OS zhan jing [FBA2012]
七龙珠 [MAME2003]/dbz2.zip,qi long zhu [MAME2003]
乔乔的奇妙冒险 [FBA2012]/jojo.zip,qiao qiao de qi miao mao xian [FBA2012]
忍者棒球 [MAME2003]/nbbatman.zip,ren zhe bang qiu [MAME2003]
忍者神龟 1 [mame2000]/,ren zhe shen gui 1 [mame2000]
忍者神龟 2 [mame2000]/tmnt2.zip,ren zhe shen gui 2 [mame2000]
忍者蛙 [MAME2003]/btoads.zip,ren zhe wa [MAME2003]
森林保护神 [mame2003]/growl.zip,sen lin bao hu shen [mame2003]
石破天惊[FBA2012]/agallet.zip,shi po tian jing [FBA2012]
双截龙 1 [mame2000]/ddragon.zip,shuang jie long 1 [mame2000]
双截龙 2 [mame2000]/ddragon2.zip,shuang jie long 2 [mame2000]
双截龙 3 [mame2003]/ddragon3.zip,shuang jie long 3 [mame2003]
