1942.nes,1942.nes
1943.nes,1943.nes
1944.nes,1944.nes
1945.nes,1945.nes
1991赌马.nes,1991 du ma.nes
4人麻将.nes,4 ren ma jiang.nes
B计划.nes,B ji hua.nes
CAPCOM音乐30合一.nes,CAPCOM yin yue 30 he yi.nes
F-1赛车.nes,F-1 sai che.nes
F15战机.nes,F15 zhan ji.nes
FC原人.nes,FC yuan ren.nes
JuJu传说.nes,JuJu chuan shuo.nes
SD英雄总决战 打倒邪恶军团.nes,SD ying xiong zong jue zhan da dao xie e jun tuan.nes
X战警.nes,X zhan jing.nes
阿尔戈斯战士.nes,a er ge si zhan shi.nes
阿拉丁1.nes,a la ding 1.nes
阿拉丁2.nes,a la ding 2.nes
阿拉丁3.nes,a la ding 3.nes
阿拉丁4.nes,a la ding 4.nes
爱的小屋.nes,ai de xiao wu.nes
埃及.nes,ai ji.nes
暗黑破坏神.nes,an hei po huai shen.nes
暗棋.nes,an qi.nes
傲剑江湖.nes,ao jian jiang hu.nes
巴特龙战机.nes,ba te long zhan ji.nes
百万富翁.nes,bai wan fu weng.nes
半熟英雄.nes,ban shu ying xiong.nes
包青天.nes,bao qing tian.nes
爆笑三国.nes,bao xiao san guo.nes
暴走淘金者1.nes,bao zou tao jin zhe 1.nes
暴走淘金者2.nes,bao zou tao jin zhe 2.nes
北斗神拳1.nes,bei dou shen quan 1.nes
北斗神拳2.nes,bei dou shen quan 2.nes
北斗神拳3.nes,bei dou shen quan 3.nes
北斗神拳4.nes,bei dou shen quan 4.nes
蝙蝠侠1.nes,bian fu xia 1.nes
蝙蝠侠2.nes,bian fu xia 2.nes
蝙蝠侠3.nes,bian fu xia 3.nes
变形战机Z.nes,bian xing zhan ji Z.nes
兵蜂1.nes,bing feng 1.nes
兵蜂2.nes,bing feng 2.nes
兵蜂3.nes,bing feng 3.nes
冰山登山者.nes,bing shan deng shan zhe.nes
波斯王子.nes,bo si wang zi.nes
不动明王传 恶魔之剑.nes,bu dong ming wang chuan e mo zhi jian.nes
不动明王传.nes,bu dong ming wang chuan.nes
布鲁斯兄弟.nes,bu lu si xiong di.nes
彩虹岛.nes,cai hong dao.nes
财神到.nes,cai shen dao.nes
餐厅争夺战.nes,can ting zheng duo zhan.nes
茶茶丸之大冒险.nes,cha cha wan zhi da mao xian.nes
长枪手传奇.nes,chang qiang shou chuan qi.nes
超惑星战记.nes,chao huo xing zhan ji.nes
超级阿拉丁.nes,chao ji a la ding.nes
超级冲刺赛.nes,chao ji chong ci sai.nes
超级大富翁.nes,chao ji da fu weng.nes
超级大战略.nes,chao ji da zhan lve.nes
超级机器人大战A.nes,chao ji ji qi ren da zhan A.nes
超级间谍猎人.nes,chao ji jian die lie ren.nes
超级玛丽1.nes,chao ji ma li 1.nes
超级马力欧2.nes,chao ji ma li ou 2.nes
超级马力欧3.nes,chao ji ma li ou 3.nes
超级马力欧 路易基之谜.nes,chao ji ma li ou lu yi ji zhi mi.nes
超级马力欧 神风1999.nes,chao ji ma li ou shen feng 1999.nes
超级马力欧 神风2000.nes,chao ji ma li ou shen feng 2000.nes
超级马力欧 神风路奇.nes,chao ji ma li ou shen feng lu qi.nes
超级马力欧 索尼克.nes,chao ji ma li ou suo ni ke.nes
超级马力欧 新的冒险.nes,chao ji ma li ou xin de mao xian.nes
超级马力欧兄弟拆屋工.nes,chao ji ma li ou xiong di chai wu gong.nes
超级马力欧兄弟.nes,chao ji ma li ou xiong di.nes
超级马力欧 耀奇.nes,chao ji ma li ou yao qi.nes
超级马力欧医生.nes,chao ji ma li ou yi sheng.nes
超级忍.nes,chao ji ren.nes
超级贪吃蛇.nes,chao ji tan chi she.nes
超级中国人1.nes,chao ji zhong guo ren 1.nes
超级中国人2.nes,chao ji zhong guo ren 2.nes
超级中国人3.nes,chao ji zhong guo ren 3.nes
超魔兽大战.nes,chao mo shou da zhan.nes
超人狼战记.nes,chao ren lang zhan ji.nes
超人.nes,chao ren.nes
超时空要塞.nes,chao shi kong yao sai.nes
超越地平线.nes,chao yue di ping xian.nes
城堡探险.nes,cheng bao tan xian.nes
惩罚者.nes,cheng fa zhe.nes
成吉思汗.nes,cheng ji si han.nes
成龙提馆1.nes,cheng long ti guan 1.nes
成龙提馆2.nes,cheng long ti guan 2.nes
成龙之龙.nes,cheng long zhi long.nes
吃豆小精灵1.nes,chi dou xiao jing ling 1.nes
吃豆小精灵2.nes,chi dou xiao jing ling 2.nes
赤色要塞.nes,chi se yao sai.nes
冲破火网1.nes,chong po huo wang 1.nes
冲破火网2.nes,chong po huo wang 2.nes
宠物大家族 部落纷争.nes,chong wu da jia zu bu luo fen zheng.nes
宠物高达战记.nes,chong wu gao da zhan ji.nes
宠物小精灵2.nes,chong wu xiao jing ling 2.nes
宠物小精灵4.nes,chong wu xiao jing ling 4.nes
宠物小精灵6.nes,chong wu xiao jing ling 6.nes
锄大D.nes,chu da D.nes
楚汉风云.nes,chu han feng yun.nes
楚汉争霸.nes,chu han zheng ba.nes
楚留香 香帅传奇之血海飘零.nes,chu liu xiang xiang shuai chuan qi zhi xue hai piao ling.nes
大白鲨.nes,da bai sha.nes
大鼻子原始人1.nes,da bi zi yuan shi ren 1.nes
大鼻子原始人2.nes,da bi zi yuan shi ren 2.nes
大盗伍佑卫门1.nes,da dao wu you wei men 1.nes
大盗伍佑卫门2.nes,da dao wu you wei men 2.nes
大盗伍佑卫门之天下宝藏.nes,da dao wu you wei men zhi tian xia bao zang.nes
大航海时代1.nes,da hang hai shi dai 1.nes
大航海时代7.nes,da hang hai shi dai 7.nes
大话水浒.nes,da hua shui hu.nes
大话西游 火星电子.nes,da hua xi you huo xing dian zi.nes
大话西游 南晶科技.nes,da hua xi you nan jing ke ji.nes
大金刚1.nes,da jin gang 1.nes
大金刚2.nes,da jin gang 2.nes
大金刚3.nes,da jin gang 3.nes
大金刚 香蕉船.nes,da jin gang xiang jiao chuan.nes
打空气1.nes,da kong qi 1.nes
打空气2.nes,da kong qi 2.nes
大力工头1.nes,da li gong tou 1.nes
大力工头2.nes,da li gong tou 2.nes
大力水手.nes,da li shui shou.nes
大蜜蜂.nes,da mi feng.nes
大唐风云4.nes,da tang feng yun 4.nes
大眼蛙大冒险1.nes,da yan wa da mao xian 1.nes
大眼蛙大冒险2.nes,da yan wa da mao xian 2.nes
大战略.nes,da zhan lve.nes
打砖块.nes,da zhuan kuai.nes
弹珠台.nes,dan zhu tai.nes
刀锋战士1.nes,dao feng zhan shi 1.nes
刀锋战士2.nes,dao feng zhan shi 2.nes
刀锋战士 日版.nes,dao feng zhan shi ri ban.nes
刀剑英雄传.nes,dao jian ying xiong chuan.nes
盗帅.nes,dao shuai.nes
第2次超级机器人大战.nes,di 2 ci chao ji ji qi ren da zhan.nes
第3次超级机器人大战.nes,di 3 ci chao ji ji qi ren da zhan.nes
第4次超级机器人大战.nes,di 4 ci chao ji ji qi ren da zhan.nes
地道战.nes,di dao zhan.nes
地底大作战.nes,di di da zuo zhan.nes
地底探险1.nes,di di tan xian 1.nes
地底探险2.nes,di di tan xian 2.nes
帝国风暴.nes,di guo feng bao.nes
帝国时代.nes,di guo shi dai.nes
帝国战机.nes,di guo zhan ji.nes
帝国直升机.nes,di guo zhi sheng ji.nes
地球冒险.nes,di qiu mao xian.nes
地狱极乐丸.nes,di yu ji le wan.nes
电视玛丽.nes,dian shi ma li.nes
电梯大盗.nes,dian ti da dao.nes
东方传说.nes,dong fang chuan shuo.nes
东风.nes,dong feng.nes
东周列国志.nes,dong zhou lie guo zhi.nes
斗者的挽歌.nes,dou zhe de wan ge.nes
斗智评盘.nes,dou zhi ping pan.nes
赌神.nes,du shen.nes
夺宝奇兵1.nes,duo bao qi bing 1.nes
夺宝奇兵2.nes,duo bao qi bing 2.nes
夺宝奇兵3.nes,duo bao qi bing 3.nes
夺宝小英豪 光明与黑暗传说.nes,duo bao xiao ying hao guang ming yu hei an chuan shuo.nes
饿狼传说2.nes,e lang chuan shuo 2.nes
饿狼传说特別版.nes,e lang chuan shuo te bie ban.nes
俄罗斯方块.nes,e luo si fang kuai.nes
恶魔城1.nes,e mo cheng 1.nes
恶魔城2.nes,e mo cheng 2.nes
恶魔城3.nes,e mo cheng 3.nes
恶魔城4.nes,e mo cheng 4.nes
恶魔城 王子.nes,e mo cheng wang zi.nes
腭鱼先生.nes,e yu xian sheng.nes
法老王.nes,fa lao wang.nes
飞狼.nes,fei lang.nes
菲利克斯猫.nes,fei li ke si mao.nes
飞龙之拳1.nes,fei long zhi quan 1.nes
飞龙之拳2.nes,fei long zhi quan 2.nes
飞龙之拳3.nes,fei long zhi quan 3.nes
飞龙之拳4.nes,fei long zhi quan 4.nes
飞龙之拳特別版.nes,fei long zhi quan te bie ban.nes
飞龙.nes,fei long.nes
飞人战士.nes,fei ren zhan shi.nes
飞翼人.nes,fei yi ren.nes
愤怒的小鸟1.nes,fen nu de xiao niao 1.nes
愤怒的小鸟2.nes,fen nu de xiao niao 2.nes
疯狂鸡蛋仔.nes,feng kuang ji dan zai.nes
风色幻想.nes,feng se huan xiang.nes
封神榜 伏魔三太子.nes,feng shen bang fu mo san tai zi.nes
封神榜.nes,feng shen bang.nes
风云.nes,feng yun.nes
斧王.nes,fu wang.nes
高尔夫.nes,gao er fu.nes
戈德曼.nes,ge de man.nes
格斗之王96.nes,ge dou zhi wang 96.nes
格斗之王97.nes,ge dou zhi wang 97.nes
格斗之王R1 最强格斗王.nes,ge dou zhi wang R1 zui qiang ge dou wang.nes
格斗之王R2 大蛇四天王.nes,ge dou zhi wang R2 da she si tian wang.nes
格兰蒂亚.nes,ge lan di ya.nes
哥伦布传.nes,ge lun bu chuan.nes
功夫.nes,gong fu.nes
公路赛车.nes,gong lu sai che.nes
公路之星1.nes,gong lu zhi xing 1.nes
公路之星2.nes,gong lu zhi xing 2.nes
古巴战士.nes,gu ba zhan shi.nes
孤独战士 惑星戒严令.nes,gu du zhan shi huo xing jie yan ling.nes
古墓丽影.nes,gu mu li ying.nes
怪物制造者1.nes,guai wu zhi zao zhe 1.nes
怪物制造者2.nes,guai wu zhi zao zhe 2.nes
光明之神.nes,guang ming zhi shen.nes
光之神话 天使岛传说.nes,guang zhi shen hua tian shi dao chuan shuo.nes
鬼魅战记.nes,gui mei zhan ji.nes
鬼屋冒险.nes,gui wu mao xian.nes
国际象棋.nes,guo ji xiang qi.nes
哈利传奇.nes,ha li chuan qi.nes
汉刘邦.nes,han liu bang.nes
汉堡包.nes,han pu bao.nes
捍卫战士1.nes,han wei zhan shi 1.nes
捍卫战士2.nes,han wei zhan shi 2.nes
合金风暴.nes,he jin feng bao.nes
合金装备1.nes,he jin zhuang bei 1.nes
合金装备2.nes,he jin zhuang bei 2.nes
黑暗之蛊.nes,hei an zhi gu.nes
黑白棋.nes,hei bai qi.nes
黑客.nes,hei ke.nes
红巾特攻队.nes,hong jin te gong dui.nes
红楼梦.nes,hong lou meng.nes
轰天至尊.nes,hong tian zhi zun.nes
红猪.nes,hong zhu.nes
虎胆龙威.nes,hu dan long wei.nes
葫芦金刚.nes,hu lu jin gang.nes
虎穴行动.nes,hu xue xing dong.nes
花式九球.nes,hua shi jiu qiu.nes
幻世禄.nes,huan shi lu.nes
幻想传说.nes,huan xiang chuan shuo.nes
黄帝.nes,huang di.nes
黄飞鸿.nes,huang fei hong.nes
黄金太阳.nes,huang jin tai yang.nes
荒野大嫖客.nes,huang ye da piao ke.nes
毁灭之神.nes,hui mie zhi shen.nes
魂斗罗1 欧版.nes,hun dou luo 1 ou ban.nes
魂斗罗1.nes,hun dou luo 1.nes
魂斗罗2 欧版.nes,hun dou luo 2 ou ban.nes
魂斗罗2.nes,hun dou luo 2.nes
魂斗罗3 力量.nes,hun dou luo 3 li liang.nes
魂斗罗X.nes,hun dou luo X.nes
魂斗罗 超级魂.nes,hun dou luo chao ji hun.nes
魂斗罗 超级战魂.nes,hun dou luo chao ji zhan hun.nes
魂斗罗 快打.nes,hun dou luo kuai da.nes
魂斗罗 异形战争.nes,hun dou luo yi xing zhan zheng.nes
混沌世界.nes,hun dun shi jie.nes
火凤凰.nes,huo feng huang.nes
火箭飞车.nes,huo jian fei che.nes
火箭人.nes,huo jian ren.nes
火龙.nes,huo long.nes
火鸟.nes,huo niao.nes
火炮.nes,huo pao.nes
火炎纹章 圣战系谱.nes,huo yan wen zhang sheng zhan xi pu.nes
火影忍者.nes,huo ying ren zhe.nes
霍元甲.nes,huo yuan jia.nes
火之鸟 凤凰篇.nes,huo zhi niao feng huang pian.nes
激斗圣战士.nes,ji dou sheng zhan shi.nes
基督山恩仇记.nes,ji du shan en chou ji.nes
机器猫 超时空歴险.nes,ji qi mao chao shi kong li xian.nes
机器猫小叮当.nes,ji qi mao xiao ding dang.nes
机器猫.nes,ji qi mao.nes
机器鸟.nes,ji qi niao.nes
机器战士高达.nes,ji qi zhan shi gao da.nes
机器子战记.nes,ji qi zi zhan ji.nes
机械战警1.nes,ji xie zhan jing 1.nes
机械战警2.nes,ji xie zhan jing 2.nes
甲A.nes,jia A.nes
嘉蒂外传.nes,jia di wai zhuan.nes
加菲猫.nes,jia fei mao.nes
假面的忍者 赤影.nes,jia mian de ren zhe chi ying.nes
假面的忍者 花丸.nes,jia mian de ren zhe hua wan.nes
加纳战机.nes,jia na zhan ji.nes
加其夫天国地狱.nes,jia qi fu tian guo di yu.nes
剑王.nes,jian wang.nes
剑侠情源.nes,jian xia qing yuan.nes
将棋秘传.nes,jiang qi mi chuan.nes
街头霸王2 12人(6人).nes,jie tou ba wang 2 12 ren (6 ren ).nes
街头霸王2 16人(8人).nes,jie tou ba wang 2 16 ren (8 ren ).nes
街头霸王2 18人(9人).nes,jie tou ba wang 2 18 ren (9 ren ).nes
街头霸王2 20人(10人).nes,jie tou ba wang 2 20 ren (10 ren ).nes
街头霸王2 4人.nes,jie tou ba wang 2 4 ren.nes
街头霸王2 5人.nes,jie tou ba wang 2 5 ren.nes
街头霸王2 56人(13人).nes,jie tou ba wang 2 56 ren (13 ren ).nes
街头霸王2 60人(10人).nes,jie tou ba wang 2 60 ren (10 ren ).nes
街头霸王2 8人.nes,jie tou ba wang 2 8 ren.nes
街头霸王2 9人.nes,jie tou ba wang 2 9 ren.nes
街头霸王 ZERO2'97.nes,jie tou ba wang ZERO2'97.nes
街头霸王 ZERO2.nes,jie tou ba wang ZERO2.nes
街头格斗小子.nes,jie tou ge dou xiao zi.nes
街头战士2010.nes,jie tou zhan shi 2010.nes
禁毒卫士.nes,jin du wei shi.nes
金曲KTV.nes,jin qu KTV.nes
筋肉人.nes,jin rou ren.nes
金属风暴.nes,jin shu feng bao.nes
金鹰之剑.nes,jin ying zhi jian.nes
金庸群侠传.nes,jin yong qun xia chuan.nes
镜花源.nes,jing hua yuan.nes
荊轲刺秦王.nes,jing ke ci qin wang.nes
荊轲新传.nes,jing ke xin chuan.nes
救火英雄.nes,jiu huo ying xiong.nes
究极虎.nes,jiu ji hu.nes
九七港京拉力赛车.nes,jiu qi gang jing la li sai che.nes
救世主.nes,jiu shi zhu.nes
绝代双娇.nes,jue dai shuang jiao.nes
绝对合体.nes,jue dui he ti.nes
决战太平洋.nes,jue zhan tai ping yang.nes
喀拉OK.nes,ka la OK.nes
喀诺夫.nes,ka nuo fu.nes
康体舞王.nes,kang ti wu wang.nes
科乐美世界1.nes,ke le mei shi jie 1.nes
科乐美世界2.nes,ke le mei shi jie 2.nes
恐龙岛.nes,kong long dao.nes
恐龙战队.nes,kong long zhan dui.nes
孔雀王1.nes,kong que wang 1.nes
孔雀王2.nes,kong que wang 2.nes
空中魂斗罗.nes,kong zhong hun dou luo.nes
空中要塞.nes,kong zhong yao sai.nes
口袋宝石 红.nes,kou dai bao shi hong.nes
口袋宝石 金.nes,kou dai bao shi jin.nes
口袋宝石 蓝.nes,kou dai bao shi lan.nes
口袋宝石 银.nes,kou dai bao shi yin.nes
口袋宝石.nes,kou dai bao shi.nes
口袋宠物 翡翠.nes,kou dai chong wu fei cui.nes
口袋宠物 红.nes,kou dai chong wu hong.nes
口袋怪兽1.nes,kou dai guai shou 1.nes
口袋怪兽2.nes,kou dai guai shou 2.nes
口袋怪兽3.nes,kou dai guai shou 3.nes
口袋怪兽 绿 绿叶版.nes,kou dai guai shou lv lv ye ban.nes
口袋怪兽 绿叶版.nes,kou dai guai shou lv ye ban.nes
口袋精灵 金.nes,kou dai jing ling jin.nes
口袋精灵 水晶.nes,kou dai jing ling shui jing.nes
口袋里的魔鬼.nes,kou dai li de mo gui.nes
口袋水晶.nes,kou dai shui jing.nes
口袋妖怪 宝石版.nes,kou dai yao guai bao shi ban.nes
口袋妖怪 绿叶版.nes,kou dai yao guai lv ye ban.nes
口袋妖怪 皮喀丘Y2K.nes,kou dai yao guai pi ka qiu Y2K.nes
口袋妖怪 皮喀丘传说.nes,kou dai yao guai pi ka qiu chuan shuo.nes
口袋妖怪 四合一.nes,kou dai yao guai si he yi.nes
快打传说.nes,kuai da chuan shuo.nes
快打旋风3.nes,kuai da xuan feng 3.nes
快打旋风.nes,kuai da xuan feng.nes
快杰洋枪丸1.nes,kuai jie yang qiang wan 1.nes
快杰洋枪丸2 机关之地大冒险.nes,kuai jie yang qiang wan 2 ji guan zhi di da mao xian.nes
快杰洋枪丸3 对决!相凌轩.nes,kuai jie yang qiang wan 3 dui jue ! xiang ling xuan.nes
快乐比奇3 地球战士.nes,kuai le bi qi 3 di qiu zhan shi.nes
魁梧男人.nes,kui wu nan ren.nes
蝋笔小新.nes,la bi xiao xin.nes
拉迪亚战记.nes,la di ya zhan ji.nes
拉格朗日点.nes,la ge lang ri dian.nes
蓝博.nes,lan bo.nes
蓝精灵.nes,lan jing ling.nes
雷电2.nes,lei dian 2.nes
里见八犬传.nes,li jian ba quan chuan.nes
梁山英雄.nes,liang shan ying xiong.nes
烈火.nes,lie huo.nes
林则徐禁烟.nes,lin ze xu jin yan.nes
灵幻道士.nes,ling huan dao shi.nes
灵界护法.nes,ling jie hu fa.nes
六角方块.nes,liu jiao fang kuai.nes
六三四剑.nes,liu san si jian.nes
龙魂 新的传说.nes,long hun xin de chuan shuo.nes
龙牙.nes,long ya.nes
龙战士.nes,long zhan shi.nes
龙之忍者.nes,long zhi ren zhe.nes
龙珠Z 超武斗传2.nes,long zhu Z chao wu dou chuan 2.nes
龙珠Z 超武斗传5.nes,long zhu Z chao wu dou chuan 5.nes
龙珠Z1 强袭！赛亚人.nes,long zhu Z1 qiang xi ！ sai ya ren.nes
龙珠Z2 激战弗利萨.nes,long zhu Z2 ji zhan fu li sa.nes
龙珠Z3 列战人造人间.nes,long zhu Z3 lie zhan ren zao ren jian.nes
龙珠Z4 赛亚人灭绝计划.nes,long zhu Z4 sai ya ren mie jue ji hua.nes
龙珠大冒险.nes,long zhu da mao xian.nes
龙珠 孙悟空过关.nes,long zhu sun wu kong guo guan.nes
卢邦三世.nes,lu bang san shi.nes
鹿鼎记.nes,lu ding ji.nes
乱世三国.nes,luan shi san guo.nes
罗宾汉.nes,luo bin han.nes
洛克人1.nes,luo ke ren 1.nes
洛克人2 Dr.Wily之谜.nes,luo ke ren 2 Dr.Wily zhi mi.nes
洛克人3 Dr.Wily的末日.nes,luo ke ren 3 Dr.Wily de mo ri.nes
洛克人4 新的野心.nes,luo ke ren 4 xin de ye xin.nes
洛克人5 布鲁斯的圈套.nes,luo ke ren 5 bu lu si de quan tao.nes
洛克人6 史上最长的战斗.nes,luo ke ren 6 shi shang zui zhang de zhan dou.nes
洛克人7.nes,luo ke ren 7.nes
洛克人Exile.nes,luo ke ren Exile.nes
洛克人X.nes,luo ke ren X.nes
罗罗大冒险1.nes,luo luo da mao xian 1.nes
罗罗大冒险2.nes,luo luo da mao xian 2.nes
罗罗大冒险3.nes,luo luo da mao xian 3.nes
绿色兵团.nes,lv se bing tuan.nes
绿野仙踪.nes,lv ye xian zong.nes
麻将方块.nes,ma jiang fang kuai.nes
麻雀世界 歌舞伎町篇.nes,ma que shi jie ge wu ji ting pian.nes
麻雀世界.nes,ma que shi jie.nes
麻雀.nes,ma que.nes
马戏团.nes,ma xi tuan.nes
麦当劳世界.nes,mai dang lao shi jie.nes
猫和老鼠1.nes,mao he lao shu 1.nes
猫和老鼠3.nes,mao he lao shu 3.nes
冒险岛1.nes,mao xian dao 1.nes
冒险岛2.nes,mao xian dao 2.nes
冒险岛3.nes,mao xian dao 3.nes
冒险岛4.nes,mao xian dao 4.nes
猫捉老鼠.nes,mao zhuo lao shu.nes
美国富豪.nes,mei guo fu hao.nes
美猴王.nes,mei hou wang.nes
美女拳.nes,mei nv quan.nes
梦幻仙境.nes,meng huan xian jing.nes
梦境之王.nes,meng jing zhi wang.nes
盟军赶死队.nes,meng jun gan si dui.nes
梦之勇士.nes,meng zhi yong shi.nes
迷宫封印.nes,mi gong feng yin.nes
迷魂车.nes,mi hun che.nes
米老鼠1 大冒险.nes,mi lao shu 1 da mao xian.nes
米老鼠2 数字岛大冒险.nes,mi lao shu 2 shu zi dao da mao xian.nes
米老鼠3 梦幻气球.nes,mi lao shu 3 meng huan qi qiu.nes
摩艾君.nes,mo ai jun.nes
魔城传说2 大魔司教.nes,mo cheng chuan shuo 2 da mo si jiao.nes
魔道劫.nes,mo dao jie.nes
魔道士阴谋.nes,mo dao shi yin mou.nes
摩登原始人1.nes,mo deng yuan shi ren 1.nes
摩登原始人2.nes,mo deng yuan shi ren 2.nes
魔法门之英雄无敌.nes,mo fa men zhi ying xiong wu di.nes
魔法总动员.nes,mo fa zong dong yuan.nes
魔幻世界.nes,mo huan shi jie.nes
魔界村.nes,mo jie cun.nes
魔界塔士.nes,mo jie ta shi.nes
魔女小红帽.nes,mo nv xiao hong mao.nes
魔神法师.nes,mo shen fa shi.nes
魔神英雄传.nes,mo shen ying xiong chuan.nes
魔兽世界 恶魔猎人.nes,mo shou shi jie e mo lie ren.nes
魔塔.nes,mo ta.nes
魔天童子.nes,mo tian tong zi.nes
摩托车大赛.nes,mo tuo che da sai.nes
魔域英雄传.nes,mo yu ying xiong chuan.nes
牧场物语.nes,mu chang wu yu.nes
拿咤传奇.nes,na zha chuan qi.nes
南极冒险.nes,nan ji mao xian.nes
鸟人战队 格斗1.nes,niao ren zhan dui ge dou 1.nes
鸟人战队 格斗2.nes,niao ren zhan dui ge dou 2.nes
鸟人战队.nes,niao ren zhan dui.nes
纽约大拳猫.nes,niu yue da quan mao.nes
农场小精灵.nes,nong chang xiao jing ling.nes
怒1.nes,nu 1.nes
怒2.nes,nu 2.nes
怒3.nes,nu 3.nes
女警刑事3.nes,nv jing xing shi 3.nes
女神的救赎.nes,nv shen de jiu shu.nes
女神转生1.nes,nv shen zhuan sheng 1.nes
女神转生2.nes,nv shen zhuan sheng 2.nes
欧陆之战.nes,ou lu zhi zhan.nes
泡泡龙1.nes,pao pao long 1.nes
泡泡龙2.nes,pao pao long 2.nes
澎澎车.nes,peng peng che.nes
霹雳神兵.nes,pi li shen bing.nes
匹诺槽的复苏.nes,pi nuo cao de fu su.nes
平成BT帝国战.nes,ping cheng BT di guo zhan.nes
菩故须苛战争.nes,pu gu xu ke zhan zheng.nes
扑克集锦.nes,pu ke ji jin.nes
扑克精灵.nes,pu ke jing ling.nes
扑克麻雀.nes,pu ke ma que.nes
扑克.nes,pu ke.nes
七宝奇谋1.nes,qi bao qi mou 1.nes
七宝奇谋2.nes,qi bao qi mou 2.nes
企鹅梦物语.nes,qi e meng wu yu.nes
企鹅先生 冒险之旅.nes,qi e xian sheng mao xian zhi lv.nes
七国大战.nes,qi guo da zhan.nes
气球大战.nes,qi qiu da zhan.nes
齐天大圣.nes,qi tian da sheng.nes
棋王.nes,qi wang.nes
潜水艇.nes,qian shui ting.nes
前线大作战.nes,qian xian da zuo zhan.nes
敲冰块.nes,qiao bing kuai.nes
蚯蚓战士2.nes,qiu yin zhan shi 2.nes
蚯蚓战士3.nes,qiu yin zhan shi 3.nes
趣味成语屋.nes,qu wei cheng yu wu.nes
趣味方块.nes,qu wei fang kuai.nes
热血躱避球.nes,re xue duo bi qiu.nes
热血格斗传说.nes,re xue ge dou chuan shuo.nes
热血进行曲.nes,re xue jin xing qu.nes
热血篮球.nes,re xue lan qiu.nes
热血曲棍球.nes,re xue qu gun qiu.nes
热血时代剧.nes,re xue shi dai ju.nes
热血物语.nes,re xue wu yu.nes
热血新记禄.nes,re xue xin ji lu.nes
热血硬派.nes,re xue ying pai.nes
热血足球联盟.nes,re xue zu qiu lian meng.nes
热血足球.nes,re xue zu qiu.nes
人间兵器2 雷霆任务.nes,ren jian bing qi 2 lei ting ren wu.nes
人间兵器.nes,ren jian bing qi.nes
任天堂战争.nes,ren tian tang zhan zheng.nes
忍者 阿修罗之章.nes,ren zhe a xiu luo zhi zhang.nes
忍者茶茶丸.nes,ren zhe cha cha wan.nes
忍者龙剑传1.nes,ren zhe long jian chuan 1.nes
忍者龙剑传2.nes,ren zhe long jian chuan 2.nes
忍者龙剑传3.nes,ren zhe long jian chuan 3.nes
忍者龙剑传 女忍.nes,ren zhe long jian chuan nv ren.nes
忍者神龟1.nes,ren zhe shen gui 1.nes
忍者神龟2.nes,ren zhe shen gui 2.nes
忍者神龟3.nes,ren zhe shen gui 3.nes
忍者神龟4.nes,ren zhe shen gui 4.nes
忍者特训.nes,ren zhe te xun.nes
忍者蛙和双截龙.nes,ren zhe wa he shuang jie long.nes
忍者蛙.nes,ren zhe wa.nes
忍者刑警.nes,ren zhe xing jing.nes
荣耀之骑士团.nes,rong yao zhi qi shi tuan.nes
塞尔达传说1 幻想大陆海尔拉.nes,sai er da chuan shuo 1 huan xiang da lu hai er la.nes
塞尔达传说2 林克冒险.nes,sai er da chuan shuo 2 lin ke mao xian.nes
塞尔达传说 缩小帽.nes,sai er da chuan shuo suo xiao mao.nes
塞外奇侠传.nes,sai wai qi xia chuan.nes
三国春秋 四川省.nes,san guo chun qiu si chuan sheng.nes
三国大乱斗 战国.nes,san guo da luan dou zhan guo.nes
三国群侠传.nes,san guo qun xia chuan.nes
三国无双 猛将传.nes,san guo wu shuang meng jiang chuan.nes
三国志1 中原之霸者.nes,san guo zhi 1 zhong yuan zhi ba zhe.nes
三国志2 霸王的大陆.nes,san guo zhi 2 ba wang de da lu.nes
