10-Pin Bowling (Europe)(Majesco Sales Inc.)(8Mb).gbc, 10-Pin Bowling (Europe)(Majesco Sales Inc.)(8Mb).gbc
10-Pin Bowling (USA) (Rumble Version)(Majesco Sales Inc.)(8Mb).gbc, 10-Pin Bowling (USA) (Rumble Version)(Majesco Sales Inc.)(8Mb).gbc
102 Dalmatas - Cachorros Al Rescate (Spain)(Activision)(8Mb).gbc, 102 Dalmatas - Cachorros Al Rescate (Spain)(Activision)(8Mb).gbc
102 Dalmatiner (Germany)(Activision)(8Mb).gbc, 102 Dalmatiner (Germany)(Activision)(8Mb).gbc
3-D Ultra Pinball - Thrillride (USA) (Rumble Version)(Sierra On-Line Inc.)(4Mb).gbc, 3-D Ultra Pinball - Thrillride (USA) (Rumble Version)(Sierra On-Line Inc.)(4Mb).gbc
Bug's Life, A (Europe) (SGB Enhanced) (GB Compatible)(THQ)(8Mb).gbc, Bug's Life, A (Europe) (SGB Enhanced) (GB Compatible)(THQ)(8Mb).gbc
Bug's Life, A (USA) (SGB Enhanced) (GB Compatible)(THQ)(8Mb).gbc, Bug's Life, A (USA) (SGB Enhanced) (GB Compatible)(THQ)(8Mb).gbc
ATV Racing & Karate Joe (Europe) (Alternate) (Unl)(Datel)(4Mb).gbc, ATV Racing & Karate Joe (Europe) (Alternate) (Unl)(Datel)(4Mb).gbc
ATV Racing & Karate Joe (Europe) (Unl)(Datel)(4Mb).gbc, ATV Racing & Karate Joe (Europe) (Unl)(Datel)(4Mb).gbc
ATV Racing (Europe) (Unl)(Datel)(2Mb).gbc, ATV Racing (Europe) (Unl)(Datel)(2Mb).gbc
Action Replay Online (Europe) (Unl)(Datel)(1Mb).gbc, Action Replay Online (Europe) (Unl)(Datel)(1Mb).gbc
AirForce Delta (Japan)(Konami)(8Mb).gbc, AirForce Delta (Japan)(Konami)(8Mb).gbc
AirForce Delta (USA)(Konami)(8Mb).gbc, AirForce Delta (USA)(Konami)(8Mb).gbc
Aladdin (USA)(Ubi Soft)(8Mb).gbc, Aladdin (USA)(Ubi Soft)(8Mb).gbc
Alice in Wonderland (USA)(Nintendo)(16Mb).gbc, Alice in Wonderland (USA)(Nintendo)(16Mb).gbc
All Star Tennis 2000 (Europe) (GB Compatible)(Ubi Soft)(8Mb).gbc, All Star Tennis 2000 (Europe) (GB Compatible)(Ubi Soft)(8Mb).gbc
All-Star Baseball 2001 (USA)(Acclaim)(8Mb).gbc, All-Star Baseball 2001 (USA)(Acclaim)(8Mb).gbc
Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible)(J-Wing Co. Ltd.)(32Mb).gbc, Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible)(J-Wing Co. Ltd.)(32Mb).gbc
Animal Breeder 4 (Japan)(J-Wing Co. Ltd.)(32Mb).gbc, Animal Breeder 4 (Japan)(J-Wing Co. Ltd.)(32Mb).gbc
Animastar GB (Japan)(Media Factory)(16Mb).gbc, Animastar GB (Japan)(Media Factory)(16Mb).gbc
Animorphs (USA)(Ubi Soft)(8Mb).gbc, Animorphs (USA)(Ubi Soft)(8Mb).gbc
Anpfiff - Der RTL Fussball-Manager (Germany)(THQ)(8Mb).gbc, Anpfiff - Der RTL Fussball-Manager (Germany)(THQ)(8Mb).gbc
Aqualife (Japan) (SGB Enhanced) (GB Compatible)(TAM)(8Mb).gbc, Aqualife (Japan) (SGB Enhanced) (GB Compatible)(TAM)(8Mb).gbc
Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced) (GB Compatible)(Sega)(8Mb).gbc, Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced) (GB Compatible)(Sega)(8Mb).gbc
Armada - FX Racers (USA)(Metro3D Inc.)(8Mb).gbc, Armada - FX Racers (USA)(Metro3D Inc.)(8Mb).gbc
Arthur's Absolutely Fun Day! (USA)(Mattel Inc.)(8Mb).gbc, Arthur's Absolutely Fun Day! (USA)(Mattel Inc.)(8Mb).gbc
Atsumete Asobu Kuma no Pooh-san - Mori no Takaramono (Japan)(Tomy)(16Mb).gbc, Atsumete Asobu Kuma no Pooh-san - Mori no Takaramono (Japan)(Tomy)(16Mb).gbc
Austin Powers - Welcome to my Underground Lair! (USA)(Rockstar Games)(32Mb).gbc, Austin Powers - Welcome to my Underground Lair! (USA)(Rockstar Games)(32Mb).gbc
Shaun Palmer's Pro Snowboarder (USA, Australia)(Activision)(16Mb).gbc, Shaun Palmer's Pro Snowboarder (USA, Australia)(Activision)(16Mb).gbc
Bionic Commando - Elite Forces (USA, Australia)(Capcom)(16Mb).gbc, Bionic Commando - Elite Forces (USA, Australia)(Capcom)(16Mb).gbc
Azarashi Sentai Inazuma - Dokidoki Daisakusen! (Japan)(Omega Micott)(8Mb).gbc, Azarashi Sentai Inazuma - Dokidoki Daisakusen! (Japan)(Omega Micott)(8Mb).gbc
Azure Dreams (USA) (SGB Enhanced) (GB Compatible)(Konami)(8Mb).gbc, Azure Dreams (USA) (SGB Enhanced) (GB Compatible)(Konami)(8Mb).gbc
B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced) (GB Compatible)(Hudson)(8Mb).gbc, B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced) (GB Compatible)(Hudson)(8Mb).gbc
B-Daman Bakugaiden V - Final Mega Tune (Japan)(Media Factory)(16Mb).gbc, B-Daman Bakugaiden V - Final Mega Tune (Japan)(Media Factory)(16Mb).gbc
Babe and Friends (USA) (GB Compatible)(Crave)(8Mb).gbc, Babe and Friends (USA) (GB Compatible)(Crave)(8Mb).gbc
Backgammon (Japan) (GB Compatible)(Altron Corp.)(8Mb).gbc, Backgammon (Japan) (GB Compatible)(Altron Corp.)(8Mb).gbc
Bad Badtz-Maru Robo Battle (Japan)(Imagineer Co. Ltd.)(16Mb).gbc, Bad Badtz-Maru Robo Battle (Japan)(Imagineer Co. Ltd.)(16Mb).gbc
Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced) (GB Compatible)(Takara Co. Ltd.)(8Mb).gbc, Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced) (GB Compatible)(Takara Co. Ltd.)(8Mb).gbc
Bakusou Dekotora Densetsu GB Special - Otoko Dokyou no Tenka Touitsu (Japan)(Kid)(8Mb).gbc, Bakusou Dekotora Densetsu GB Special - Otoko Dokyou no Tenka Touitsu (Japan)(Kid)(8Mb).gbc
Bakusou Senki Metal Walker GB - Koutetsu no Yuujou (Japan) (GB Compatible)(Capcom)(8Mb).gbc, Bakusou Senki Metal Walker GB - Koutetsu no Yuujou (Japan) (GB Compatible)(Capcom)(8Mb).gbc
Bakuten Shoot Beyblade (Japan)(Hudson)(16Mb).gbc, Bakuten Shoot Beyblade (Japan)(Hudson)(16Mb).gbc
Ballistic (USA) (GB Compatible)(Infogrames)(4Mb).gbc, Ballistic (USA) (GB Compatible)(Infogrames)(4Mb).gbc
Barbie - Aventura Submarina (Spain) (GB Compatible)(Mattel Inc.)(8Mb).gbc, Barbie - Aventura Submarina (Spain) (GB Compatible)(Mattel Inc.)(8Mb).gbc
Barbie - Avventure nell'Oceano (Italy) (GB Compatible)(Mattel Inc.)(8Mb).gbc, Barbie - Avventure nell'Oceano (Italy) (GB Compatible)(Mattel Inc.)(8Mb).gbc
