007 Golden Eye.v64,007 Golden Eye.v64
1080 TenEighty Snowboarding.n64,1080 TenEighty Snowboarding.n64
Banjo-Kazooie.n64,Banjo-Kazooie.n64
Blast Corps.n64,Blast Corps.n64
Bomberman 64.v64,Bomberman 64.v64
Castlevania1.n64,Castlevania1.n64
Castlevania2 Legacy of Darkness.n64,Castlevania2 Legacy of Darkness.n64
Conker's Bad Fur Day.n64,Conker's Bad Fur Day.n64
Dezaemon 3D.n64,Dezaemon 3D.n64
Diddy Kong Racing.n64,Diddy Kong Racing.n64
Donald Duck - Goin' Quackers.n64,Donald Duck - Goin' Quackers.n64
Donkey Kong 64.n64,Donkey Kong 64.n64
Excitebike 64.n64,Excitebike 64.n64
F-1 World Grand Prix.n64,F-1 World Grand Prix.n64
F-Zero X.n64,F-Zero X.n64
Fighter Destiny 2.n64,Fighter Destiny 2.n64
Fighters Destiny.n64,Fighters Destiny.n64
Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou!.n64,Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou!.n64
Gex 3 - Deep Cover Gecko.n64,Gex 3 - Deep Cover Gecko.n64
Gex 64 - Enter the Gecko.n64,Gex 64 - Enter the Gecko.n64
Harvest Moon 64.n64,Harvest Moon 64.n64
Hybrid Heaven.n64,Hybrid Heaven.n64
Jet Force Gemini.n64,Jet Force Gemini.n64
Kirby 64 - The Crystal Shards.n64,Kirby 64 - The Crystal Shards.n64
Legend Of Zelda - Majora's Mask.n64,Legend Of Zelda - Majora's Mask.n64
Legend Of Zelda - Ocarina Of Time.n64,Legend Of Zelda - Ocarina Of Time.n64
Magical Tetris Challenge.n64,Magical Tetris Challenge.n64
Mario Kart 64.v64,Mario Kart 64.v64
Mario Party.v64,Mario Party.v64
New Tetris.n64,New Tetris.n64
Paper Mario.n64,Paper Mario.n64
Perfect Dark.n64,Perfect Dark.n64
Rayman 2 - The Great Escape.n64,Rayman 2 - The Great Escape.n64
Ridge Racer 64.n64,Ridge Racer 64.n64
Rocket - Robot on Wheels.n64,Rocket - Robot on Wheels.n64
Rockman Dash 64.n64,Rockman Dash 64.n64
SpaceStation Silicon Valley.n64,SpaceStation Silicon Valley.n64
Star Fox 64.n64,Star Fox 64.n64
Star Soldier - Vanishing Earth.n64,Star Soldier - Vanishing Earth.n64
Stunt Racer 64.n64,Stunt Racer 64.n64
Super Mario 64.v64,Super Mario 64.v64
Super Robot Taisen 64.n64,Super Robot Taisen 64.n64
Super Smash Bros.n64,Super Smash Bros.n64
Tarzan.n64,Tarzan.n64
Tsumi to Batsu Hoshi no Keishousha.n64,Tsumi to Batsu Hoshi no Keishousha.n64
Turok1 Rage Wars.n64,Turok1 Rage Wars.n64
Turok2 Seeds of Evil.n64,Turok2 Seeds of Evil.n64
Utchan Nanchan no Hono no Challenger - Denryuu Ira Ira Bou.n64,Utchan Nanchan no Hono no Challenger - Denryuu Ira Ira Bou.n64
Wave Race 64.n64,Wave Race 64.n64
Wipeout 64.n64,Wipeout 64.n64
Wonder Project J2 - Koruro no Mori no Jozet.n64,Wonder Project J2 - Koruro no Mori no Jozet.n64
Yoshi Story.n64,Yoshi Story.n64
