3x3只眼 兽魔奉还.smc,3x3 zhi yan shou mo feng huan.smc
46亿年物语.smc,46 yi nian wu yu.smc
BB鸟与大野狼.smc,BB niao yu da ye lang.smc
F-ZERO.smc,F-ZERO.smc
GO!GO!恶魔少年2.smc,GO!GO! e mo shao nian 2.smc
GO!GO!恶魔少年3.smc,GO!GO! e mo shao nian 3.smc
GO!GO!恶魔少年 中文版.smc,GO!GO! e mo shao nian zhong wen ban.smc
HACK GO恶魔少年 无敌.smc,HACK GO e mo shao nian wu di.smc
HACK X战警  变种末世录无敌无限血，命.smc,HACK X zhan jing bian zhong mo shi lu wu di wu xian xue ， ming.smc
HACK 阿拉丁 无限苹果无限生命.smc,HACK a la ding wu xian ping guo wu xian sheng ming.smc
HACK 暴力刑警无限人.smc,HACK bao li xing jing wu xian ren.smc
HACK 兵蜂 能源不减.smc,HACK bing feng neng yuan bu jian.smc
HACK 超级大金刚1 无限人透明.smc,HACK chao ji da jin gang 1 wu xian ren tou ming.smc
HACK 超级大金刚2生命无限.sfc,HACK chao ji da jin gang 2 sheng ming wu xian.sfc
HACK 超级大金刚3生命无限.sfc,HACK chao ji da jin gang 3 sheng ming wu xian.sfc
HACK 超级恶魔城4 无限人透明.smc,HACK chao ji e mo cheng 4 wu xian ren tou ming.smc
HACK 超级街头霸王2 超强版.smc,HACK chao ji jie tou ba wang 2 chao qiang ban.smc
HACK 超级冒险岛 无敌.smc,HACK chao ji mao xian dao wu di.smc
HACK 超级双截龙4 无限人.smc,HACK chao ji shuang jie long 4 wu xian ren.smc
HACK 超级炸弹人2 人时间炸弹威力不减.smc,HACK chao ji zha dan ren 2 ren shi jian zha dan wei li bu jian.smc
HACK 超级战士1 无限人无限保护.sfc,HACK chao ji zhan shi 1 wu xian ren wu xian bao hu.sfc
HACK 超级战士2 无限人无限保护.sfc,HACK chao ji zhan shi 2 wu xian ren wu xian bao hu.sfc
HACK 超魔界村 半透明.smc,HACK chao mo jie cun ban tou ming.smc
HACK 超人死里逢生 绝招不减、人数不减.smc,HACK chao ren si li feng sheng jue zhao bu jian 、 ren shu bu jian.smc
HACK 超时空要塞 无敌.smc,HACK chao shi kong yao sai wu di.smc
HACK 传说战士 不减血，命，炸弹.sfc,HACK chuan shuo zhan shi bu jian xue ， ming ， zha dan.sfc
HACK 大盗五卫门3代1.2P能源无限.smc,HACK da dao wu wei men 3 dai 1.2P neng yuan wu xian.smc
HACK 大盗伍右卫门2 能源金钱不减.smc,HACK da dao wu you wei men 2 neng yuan jin qian bu jian.smc
HACK 达菲鸭 火星任务无敌版.smc,HACK da fei ya huo xing ren wu wu di ban.smc
HACK 大力工头POW人不减.smc,HACK da li gong tou POW ren bu jian.smc
HACK 电精1  人生命气能源不减.smc,HACK dian jing 1 ren sheng ming qi neng yuan bu jian.smc
HACK 斗姬传 无限命.sfc,HACK dou ji chuan wu xian ming.sfc
HACK 恶魔城 XX 体力不减命数不减心不减.sfc,HACK e mo cheng XX ti li bu jian ming shu bu jian xin bu jian.sfc
HACK 飞天蝙蝠2 全不减.smc,HACK fei tian bian fu 2 quan bu jian.smc
HACK 钢铁战士 无敌版.sfc,HACK gang tie zhan shi wu di ban.sfc
HACK 怪物三人行 无限血，命，骨，吼.sfc,HACK guai wu san ren xing wu xian xue ， ming ， gu ， hou.sfc
HACK 灌篮高手2 修改版.sfc,HACK guan lan gao shou 2 xiu gai ban.sfc
HACK 鬼神童子 中文版  无限生血命保护.smc,HACK gui shen tong zi zhong wen ban wu xian sheng xue ming bao hu.smc
HACK 海腹川背.smc,HACK hai fu chuan bei.smc
HACK 荒野双抢无敌版.smc,HACK huang ye shuang qiang wu di ban.smc
HACK 魂斗罗3 欧版 无限命无限炸弹.smc,HACK hun dou luo 3 ou ban wu xian ming wu xian zha dan.smc
HACK 火箭骑士.smc,HACK huo jian qi shi.smc
HACK 机械战警对终结者 命数体力增加.sfc,HACK ji xie zhan jing dui zhong jie zhe ming shu ti li zeng jia.sfc
HACK 快打刑事 乱 无敌.smc,HACK kuai da xing shi luan wu di.smc
HACK 快打旋风1 无限命.smc,HACK kuai da xuan feng 1 wu xian ming.smc
HACK 快打旋风2 无限人数.smc,HACK kuai da xuan feng 2 wu xian ren shu.smc
HACK 快打旋风3终极版.smc,HACK kuai da xuan feng 3 zhong ji ban.smc
HACK 雷霆英豪 无限命人八种武器无限子弹.sfc,HACK lei ting ying hao wu xian ming ren ba zhong wu qi wu xian zi dan.sfc
HACK 洛克人X 初始拥有全武器版 .smc,HACK luo ke ren X chu shi yong you quan wu qi ban.smc
HACK 洛克人X2 不减血.smc,HACK luo ke ren X2 bu jian xue.smc
