EX-异种.smd,EX- yi zhong.smd
Mazin 传说 Start键加9条人命 HP 及隐身.bin,Mazin chuan shuo Start jian jia 9 tiao ren ming HP ji yin shen.bin
Mega银河战士.smd,Mega yin he zhan shi.smd
VR战士2.smd,VR zhan shi 2.smd
X战警1.smd,X zhan jing 1.smd
X战警2.smd,X zhan jing 2.smd
啊Q连环炮 中文版.smd,a Q lian huan pao zhong wen ban.smd
阿拉丁 无限命.gen,a la ding wu xian ming.gen
阿拉丁.smd,a la ding.smd
阿莉莎之龙 命不减 闪电恢复×3.smd,a li sha zhi long ming bu jian shan dian hui fu ×3.smd
阿斯特瑞克斯 大救援.smd,a si te rui ke si da jiu yuan.smd
阿斯特瑞克斯 上帝之力.smd,a si te rui ke si shang di zhi li.smd
巴哈姆特战记.smd,ba ha mu te zhan ji.smd
暴力克星 多命版.bin,bao li ke xing duo ming ban.bin
暴力克星.smd,bao li ke xing.smd
爆裂激战.smd,bao lie ji zhan.smd
宝石方块3.smd,bao shi fang kuai 3.smd
蝙蝠侠 人不减，START加99个飞镖 恢复血.bin,bian fu xia ren bu jian ，START jia 99 ge fei biao hui fu xue.bin
蝙蝠侠与罗宾a键满气攻击增加威力c换命暂停换武器器.gen,bian fu xia yu luo bin a jian man qi gong ji zeng jia wei li c huan ming zan ting huan wu qi qi.gen
蝙蝠侠与罗宾.smd,bian fu xia yu luo bin.smd
蝙蝠侠.smd,bian fu xia.smd
彩虹岛.smd,cai hong dao.smd
超级忍1.smd,chao ji ren 1.smd
超级忍2 无限命.gen,chao ji ren 2 wu xian ming.gen
超级忍2 中文版.md,chao ji ren 2 zhong wen ban.md
超级忍2.smd,chao ji ren 2.smd
超人 无敌版.bin,chao ren wu di ban.bin
超人.smd,chao ren.smd
出击飞龙.smd,chu ji fei long.smd
丛林大冒险 无限命.bin,cong lin da mao xian wu xian ming.bin
大航海时代1 中文版.md,da hang hai shi dai 1 zhong wen ban.md
大航海时代2  意志加强中文版.bin,da hang hai shi dai 2 yi zhi jia qiang zhong wen ban.bin
大乱斗.smd,da luan dou.smd
大魔界村.smd,da mo jie cun.smd
大头小子.smd,da tou xiao zi.smd
大战略 闪电奇袭 中文版.md,da zhan lve shan dian qi xi zhong wen ban.md
动物快打.smd,dong wu kuai da.smd
斗技王 5个魔法消耗量为0 经验升级最大值.bin,dou ji wang 5 ge mo fa xiao hao liang wei 0 jing yan sheng ji zui da zhi.bin
斗技王.bin,dou ji wang.bin
饿狼传说2.smd,e lang chuan shuo 2.smd
恶魔波子机.bin,e mo bo zi ji.bin
恶魔城-血族.bin,e mo cheng - xue zu.bin
恶魔城 血族 Start键加满99颗宝石，9条人命，及HP.bin,e mo cheng xue zu Start jian jia man 99 ke bao shi ，9 tiao ren ming ， ji HP.bin
飞马骑士.smd,fei ma qi shi.smd
飞天蝙蝠ZERO.smd,fei tian bian fu ZERO.smd
飞翔蝙蝠2.smd,fei xiang bian fu 2.smd
疯狂米老鼠.smd,feng kuang mi lao shu.smd
封神英杰传 HACK.gen,feng shen ying jie chuan HACK.gen
封神英杰传 中文版.md,feng shen ying jie chuan zhong wen ban.md
风中奇缘.smd,feng zhong qi yuan.smd
复仇之刃.smd,fu chou zhi ren.smd
弗兰克大冒险.smd,fu lan ke da mao xian.smd
盖亚战机越死越多死后换武器暂停键增加防护罩.bin,gai ya zhan ji yue si yue duo si hou huan wu qi zan ting jian zeng jia fang hu zhao.bin
港都少年 中文版.mdx,gang dou shao nian zhong wen ban.mdx
